ISO3,NATIONALITY_NAME,COUNTRY_CODE,REGION,SUBREGION,LATITUDE,LONGITUDE,UPDATED,OBSOLETE
THA,Thailand,4200,Asia,South-eastern Asia,"1,375,398","10,050,144",,0
TLS,Timor Leste,8100,Asia,South-eastern Asia,"-855,861","12,557,361",,1
TLS,Timor-Leste,2080,Asia,South-eastern Asia,"-855,861","1,255,736",,0
TGO,Togo,4230,Africa,Sub-Saharan Africa,"612,874","122,154",,0
TKL,Tokelau,7742,Oceania,Polynesia,"-854,212","-17,251,591",,0
TON,Tonga,6340,Oceania,Polynesia,"-2,113,938","-1,752,018",,0
TTO,Trinidad And Tobago,4290,Americas,Latin America and the Caribbean,"1,066,668","-6,151,889",,0
TUN,Tunisia,4320,Africa,Northern Africa,"3,681,897","1,016,579",,0
TUR,Türkiye,4350,Asia,Western Asia,"3,991,987","3,285,427",,0
TKM,Turkmenistan,7677,Asia,Central Asia,"37,95","5,838,333",,0
TUV,Tuvalu,6180,Oceania,Polynesia,"-852,425","17,919,417",,0
UGA,Uganda,4380,Africa,Sub-Saharan Africa,"0,31628","3,258,219",,0
UKR,Ukraine,4410,Europe,Eastern Europe,"5,045,466","305,238",,0
,Unclear,9999,,,,,,0
ARE,United Arab Emirates,4490,Asia,Western Asia,"2,446,667","5,436,667",,0
GBR,United Kingdom of Great Britain and Northern Ireland,4530,Europe,Northern Europe,"5,150,853","-0,12574",,0
TZA,United Republic of Tanzania,4550,Africa,Sub-Saharan Africa,"-617,221","3,573,947",,0
USA,United States of America,4560,Americas,Northern America,"3,889,511","-7,703,637",,0
URY,Uruguay,4620,Americas,Latin America and the Caribbean,"-3,490,328","-5,618,816",,0
,Ussr,4470,Europe,Eastern Europe,,,,-1
UZB,Uzbekistan,7991,Asia,Central Asia,"4,126,465","6,921,627",,0
VUT,Vanuatu,6550,Oceania,Melanesia,"-1,773,648","16,831,366",,0
VEN,Venezuela,4710,Americas,Latin America and the Caribbean,"1,048,801","-6,687,919",,0
VNM,Viet Nam,5690,Asia,South-eastern Asia,"210,245","10,584,117",,0
ESH,Western Sahara,6910,Africa,Northern Africa,"261,579","-1,055,889",,0
YEM,"Yemen, Republic Of",9400,Asia,Western Asia,"1,535,472","4,420,667",,0
ZMB,Zambia,4980,Africa,Sub-Saharan Africa,"-1,540,669","2,828,713",,0
ZWE,Zimbabwe,6260,Africa,Sub-Saharan Africa,"-1,782,772","3,105,337",,0
