CITY_CODE,CITY_NAME,CITY_COMMON_NAME,COUNTRY_CODE,COUNTRY_NAME,REGION,SUBREGION,LATITUDE,LONGITUDE,EFFECTIVE,OBSOLETE
AH052,Ahmedabad,Ahmedabad,2040,India,Asia,Southern Asia,23.0258,72.58727,,0
AH010,Ahwar,Ahwar,9400,Yemen,Asia,Western Asia,13.5194,46.712369,,0
AH085,Ahwaz,Ahwaz,2100,Iran,Asia,Southern Asia,31.3203,48.6693,,0
AI020,Aileu,Aileu,8100,Timor-Leste,Asia,South-eastern Asia,-8.7281,125.566383,,0
AZ010,Ain Ziouani,Ain Ziouani,4321,State of Palestine,Asia,Western Asia,,,,0
AI030,Ainaro,Ainaro,8100,Timor-Leste,Asia,South-eastern Asia,-8.9924,125.508155,,0
AI703,Aioun,Aioun,540,Brazil,Africa,Latin America and the Caribbean,15.55,-11.183889,,0
AI010,Aitape,Aitape,6490,Papua New Guinea,Oceania,Melanesia,-3.137,142.34913,,0
AI010,Aitutaki,Arutanga,3090,New Zealand,Oceania,Australia and New Zealand,-18.8686,-159.8,,0
AI060,Aiyura,Aiyura,6490,Papua New Guinea,Oceania,Melanesia,-6.3423,145.89609,,0
AK050,Akhmeta,Akhmeta,3167,Georgia,Asia,Western Asia,42.0327,45.20402,,0
AK030,Akobo,Akobo,4021,South Sudan,Africa,Sub-Saharan Africa,7.7949,33.04611,,0
AK659,Akon,Akon,4021,South Sudan,Africa,Sub-Saharan Africa,7.4093,29.06797,,0
AK020,Akosombo,Akosombo,1620,Ghana,Africa,Sub-Saharan Africa,6.3,0.05,,0
AK010,Akure,Akure,3210,Nigeria,Africa,Sub-Saharan Africa,7.2526,5.193264,2021,0
AK010,Akyab,Akyab,600,Myanmar,Asia,South-eastern Asia,20.1462,92.89835,,0
AA051,Al Amarah,Al Amarah,2130,Iraq,Asia,Western Asia,31.9,47.06667,,0
AL576,Al Basrah,Al Basrah,2130,Iraq,Asia,Western Asia,29.6817,48.80916667,,0
AL020,Al Bayda,Al Bayda,2580,Libya,Africa,Northern Africa,32.11,13.33027,,0
AL171,Al Dabbah,Al Dabbah,4020,Sudan,Africa,Northern Africa,18.05023611,30.94951667,,0
AL002,Al Hasa,Al Hasa,3780,Saudi Arabia,Asia,Western Asia,24,49.75,,0
HA010,Al Hasakah,Al Hasakah,4140,Syrian Arab Republic,Asia,Western Asia,36.5024,40.747713,,0
AH051,Al Hillah,Al Hillah,2130,Iraq,Asia,Western Asia,32.4807,44.427251,,0
AL041,Al Hoceima,Al Hoceima,2910,Morocco,Africa,Northern Africa,35.2472,-3.932222,,0
AL100,Al Hofuf,Al Hofuf,3780,Saudi Arabia,Asia,Western Asia,25.3647,49.58764,,0
AL110,Al Jouf,Al Jouf,3780,Saudi Arabia,Asia,Western Asia,30,38,,0
AL010,Al Kharaz,Al Kharaz,9400,Yemen,Asia,Western Asia,12.7666,44.028435,,0
AL010,Al Kharj,Al Kharj,3780,Saudi Arabia,Asia,Western Asia,24.1554,47.33457,,0
AK051,Al Kut,Al Kut,2130,Iraq,Asia,Western Asia,32.75,45.41667,,0
AL005,Al Mombatah,Al-Mombatah,4500,Egypt,Africa,Northern Africa,29.98,31.42,,0
AL045,Al Mukalla,Al Mukalla,9400,Yemen,Asia,Western Asia,14.536,49.123034,,0
AQ010,Al Qoubaiyat,Al Qoubaiyat,2490,Lebanon,Asia,Western Asia,34.5667,36.28333,2019,0
AL080,Al Taweisha,Taweisha,4020,Sudan,Africa,Northern Africa,12.35,26.533333,,0
AL010,AlAin,AlAin,4490,United Arab Emirates,Asia,Western Asia,24.1917,55.76056,,0
AL010,Alamata,Alamata,1410,Ethiopia,Africa,Sub-Saharan Africa,12.416,39.55971,,0
AL005,Alang-Alang Leyte,Alangalang,3420,Philippines,Asia,South-eastern Asia,9.914,125.2865,,0
AL300,Albadariah,Albadaria,1770,Guinea,Africa,Sub-Saharan Africa,9.5508,-10.10149,,0
AL010,Albay,Albay,3420,Philippines,Asia,South-eastern Asia,13.2167,123.55,,0
AL011,Al-Dhala’a,Al-Dhala’a,9400,Yemen,Asia,Western Asia,13.4148,44.4351,,0
AL030,Aleg,Aleg,2820,Mauritania,Africa,Sub-Saharan Africa,17.05,-13.916,,0
AL010,Aleppo,Aleppo,4140,Syrian Arab Republic,Asia,Western Asia,36.2012,37.161163,2021,0
AL621,Alessandria,Alessandria,2220,Italy,Europe,Southern Europe,44.91667,8.61667,,0
AL192,Alexandreia,Alexandreia,1650,Greece,Europe,Southern Europe,40.5833,22.43333333,,0
AL010,Alexandria,Alexandria,4500,Egypt,Africa,Northern Africa,31.199,29.894368,2021,0
AL070,Aley,Aley,2490,Lebanon,Asia,Western Asia,33.8,35.6,,0
AL863,Algeciras,Algeciras,3990,Spain,Europe,Southern Europe,36.1306,-5.4475,,0
AL010,Algiers,Algiers,120,Algeria,Africa,Northern Africa,36.7405,3.00957,2021,0
AL010,Ali Sabeih,Ali Sabieh,6690,Djibouti,Africa,Sub-Saharan Africa,11.1552,42.703806,2021,0
AL040,Alicante,Alicante,3990,Spain,Europe,Southern Europe,38.4015,-0.43623,,0
AL010,Alinjuguru,Alinjuguru,2400,Kenya,Africa,Sub-Saharan Africa,-0.0336026,40.4697704,,0
AL050,Allahabad,Allahabad,2040,India,Asia,Southern Asia,25.4448,81.84322,,0
AL055,Almaty,Almaty,4319,Kazakhstan,Asia,Central Asia,43.2567,76.928603,2019,0
AL216,Al-Mokha,Al-Mokha,9400,Yemen,Asia,Western Asia,13.3167,43.25,,0
AL010,Alofi,Alofi,6144,Niue,Oceania,Polynesia,-19.0595,-169.91867,,0
AL005,Alor Setar Kedah,Alor Setar,2700,Malaysia,Asia,South-eastern Asia,6.121,100.36014,,0
AL010,Alotau,Alotau,6490,Papua New Guinea,Oceania,Melanesia,-10.3,150.41667,,0
AQ010,Al-Qaim,Al-Qaim,2130,Iraq,Asia,Western Asia,34.3925,40.989446,,0
AL020,Alta Verapaz,Alta Verapaz,1680,Guatemala,Americas,Latin America and the Caribbean,15.6667,-90,,0
AL010,Altos de Cazuca,Altos de Cazuca,930,Colombia,Americas,Latin America and the Caribbean,4.5877,-74.18484,,0
AL010,Altstatten,Altstatten,5750,Switzerland,Europe,Western Europe,47.3775,9.540531,,0
AL050,Aluu,Aluu,3210,Nigeria,Africa,Sub-Saharan Africa,4.9338,6.94946,,0
AL010,Al-Waleed,Al Waleed,2130,Iraq,Asia,Western Asia,33.4332,38.9374,,0
AM020,Am Timan,Am Timan,810,Chad,Africa,Sub-Saharan Africa,11.0297,20.2827,,0
AM010,Amadiyah,Amadiyah,2130,Iraq,Asia,Western Asia,32.3495,44.6075,,0
AM011,Aman,Aman,1410,Ethiopia,Africa,Sub-Saharan Africa,6.9577,35.55746,,0
AM010,Ambala,Ambala,2040,India,Asia,Southern Asia,30.361,76.79782,,0
AM010,Ambato,Ambato,1350,Ecuador,Americas,Latin America and the Caribbean,-1.2491,-78.61675,,0
AB052,Ambato Boeny,Ambato Boeny,2670,Madagascar,Africa,Sub-Saharan Africa,-16.4667,46.71667,,0
AM005,Ambatolampy,Ambatolampy,2670,Madagascar,Africa,Sub-Saharan Africa,-19.3833,47.41667,,0
AM010,Ambatondrazaka,Ambatondrazaka,2670,Madagascar,Africa,Sub-Saharan Africa,-17.8333,48.41667,,0
AM010,Ambo,Ambo,1410,Ethiopia,Africa,Sub-Saharan Africa,8.9833,37.85,,0
AM030,Amboasary,Amboasary,2670,Madagascar,Africa,Sub-Saharan Africa,-25.0333,46.38333,,0
AM013,Ambohidratrimo,Ambohidratrimo,2670,Madagascar,Africa,Sub-Saharan Africa,-18.818,47.43382,,0
